ri_id,lead_image,ri_name,text_file,n_En,n_Fa,n_Fs,n_Fm,n_Fp,n_Fo3,n_Ca,n_Su,n_Fb,n_St,n_Pr,n_Sa,n_Al,serving_size
43,20190830_230317_seared tuna w wasabi & ponzu.jpg,seared tuna w wasabi & ponzu,20190830_230317_seared tuna w wasabi & ponzu.txt,128,0.69,0.21,0.1,0.21,0.0,1.21,0.29,0.08,0.0,27.64,1.99,0.0,130
44,20200509_153524_seared fillet steak.jpg,seared fillet steak,20200509_153524_seared fillet steak.txt,298,22.06,8.58,9.82,0.94,0.0,0.17,0.0,0.07,0.0,23.18,0.67,0.0,180
45,20200619_153000_half duck w squash & celeriac.jpg,half duck w squash & celeriac,20200619_153000_half duck w squash & celeriac.txt,181,10.13,4.3,3.84,1.02,0.83,9.49,1.6,1.91,0.0,13.86,1.02,0.0,310
46,20200212_142217_water chestnuts in lemon tangerine cardamom syrup.jpg,water chestnuts in lemon tangerine cardamom syrup,20200212_142217_water chestnuts in lemon tangerine cardamom syrup.txt,100,0.13,0.01,0.01,0.01,0.0,23.99,18.26,1.01,0.0,1.52,0.03,0.0,315
47,20200429_201142_ham warm salad w red pepper soup sauce.jpg,ham warm salad w red pepper soup sauce,20200429_201142_ham warm salad w red pepper soup sauce.txt,75,2.19,0.43,0.16,0.19,0.0,9.6,6.17,1.5,0.22,4.5,1.12,0.0,360
48,20190817_223032_movie snacks 20190817_3.jpg,movie snacks 20190817_3,20190817_223032_movie snacks 20190817_3.txt,556,39.55,13.31,12.67,6.49,0.0,40.49,32.98,3.11,1.87,11.94,0.33,0.0,27
49,20190810_153856_chicken roll w veggie bits.jpg,chicken roll w veggie bits,20190810_153856_chicken roll w veggie bits.txt,87,4.04,1.34,0.87,0.4,0.01,4.71,2.96,0.59,0.0,8.47,0.82,0.0,539
50,20190312_160736_lamb and beef stock and bean broth w spring onion.jpg,lamb and beef stock and bean broth w spring onion,20190312_160736_lamb and beef stock and bean broth w spring onion.txt,62,3.01,1.02,0.59,0.32,0.06,3.16,0.97,0.72,0.13,5.16,0.67,0.0,507
51,20210729_150450_chicken stuffed peppers & mixed veg.jpg,chicken stuffed peppers & mixed veg,20210729_150450_chicken stuffed peppers & mixed veg.txt,114,5.73,1.37,2.76,1.04,0.0,3.81,1.67,1.49,0.16,11.37,0.51,0.0,360
52,20200325_134747_figs in lemon w sauce.jpg,figs in lemon w sauce,20200325_134747_figs in lemon w sauce.txt,170,5.75,3.48,1.48,0.3,0.0,31.5,27.09,4.26,0.0,1.5,0.12,0.0,15
53,20190421_195514_raspberries strawberries & meringue.jpg,raspberries strawberries & meringue,20190421_195514_raspberries strawberries & meringue.txt,117,0.44,0.01,0.03,0.21,0.0,28.75,24.84,2.99,0.0,1.6,0.05,0.0,71
54,20200926_212210_roast lamb & ratatouille yorkies.jpg,roast lamb & ratatouille yorkies,20200926_212210_roast lamb & ratatouille yorkies.txt,181,9.56,2.62,3.78,0.54,0.19,14.36,2.26,1.22,0.07,8.92,0.66,0.0,63
55,20200926_162441_potato salad w red cabbage & tomato.jpg,potato salad w red cabbage & tomato,20200926_162441_potato salad w red cabbage & tomato.txt,83,5.59,0.44,0.0,0.03,0.0,7.33,2.08,1.45,0.0,1.13,0.38,0.0,243
56,20210812_155637_crab & prawn cakes.jpg,crab & prawn cakes,20210812_155637_crab & prawn cakes.txt,271,14.83,2.28,9.64,1.93,0.12,22.53,3.8,3.04,12.08,11.84,0.8,0.0,45
57,20190401_164431_lamb shank w leek and green beans.jpg,lamb shank w leek and green beans,20190401_164431_lamb shank w leek and green beans.txt,56,1.08,0.38,0.26,0.11,0.04,6.33,2.7,1.43,0.05,5.27,0.35,0.0,650
58,20210416_123211_soft boiled eggs.jpg,soft boiled eggs,20210416_123211_soft boiled eggs.txt,143,9.5,3.1,3.7,1.9,0.0,0.7,0.4,0.0,0.0,12.6,0.4,0.0,55
59,20210421_153839_green curry leeks.jpg,green curry leeks,20210421_153839_green curry leeks.txt,209,18.95,14.74,2.46,0.62,0.0,9.87,2.5,1.32,0.38,2.81,0.54,0.0,174
60,20210821_102651_lsr red pepper.jpg,lsr red pepper,20210821_102651_lsr red pepper.txt,111,3.56,0.35,0.46,0.29,0.0,17.19,4.81,1.95,10.07,2.48,0.61,0.0,20
61,20190706_230644_jam on toast.jpg,jam on toast,20190706_230644_jam on toast.txt,412,24.33,12.49,4.85,0.69,0.0,38.24,10.22,4.85,2.09,8.67,1.14,0.0,69
62,20190512_184415_chicken teriyaki w couscous and apple.jpg,chicken teriyaki w couscous and apple,20190512_184415_chicken teriyaki w couscous and apple.txt,135,4.32,0.92,1.67,0.85,0.0,10.03,3.08,1.75,0.19,13.91,0.44,0.0,290
63,20210806_140837_smoked paprika sliced potatoes.jpg,smoked paprika sliced potatoes,20210806_140837_smoked paprika sliced potatoes.txt,195,6.55,0.88,4.66,0.67,0.0,32.07,1.44,2.87,0.0,3.03,0.43,0.0,156
64,20190830_230323_cheese and tomato micro pizza.jpg,cheese and tomato micro pizza,20190830_230323_cheese and tomato micro pizza.txt,240,10.05,3.72,1.11,0.19,0.0,27.51,4.55,1.9,0.0,9.3,0.65,0.0,170
65,20190411_174926_red cabbage and caramelised beetroot.jpg,red cabbage and caramelised beetroot,20190411_174926_red cabbage and caramelised beetroot.txt,94,0.55,0.21,0.0,0.0,0.0,18.36,17.03,2.34,0.31,1.38,0.04,0.92,130
66,20190527_174132_roast chicken w leek and gravy.jpg,roast chicken w leek and gravy,20190527_174132_roast chicken w leek and gravy.txt,78,2.94,0.89,0.45,0.32,0.0,6.22,1.12,0.67,1.34,6.39,1.42,0.05,622
67,20200517_180806_chinese leaf & fishsticks.jpg,chinese leaf & fishsticks,20200517_180806_chinese leaf & fishsticks.txt,54,1.12,0.14,0.01,0.04,0.0,6.88,4.44,0.96,0.03,4.24,1.17,0.0,264
68,20190428_185800_seared salmon w skin.jpg,seared salmon w skin,20190428_185800_seared salmon w skin.txt,178,7.64,1.5,2.05,1.69,0.0,0.0,0.0,0.0,0.0,27.25,0.84,0.0,125
69,20210415_123739_aubergine caviar.jpg,aubergine caviar,20210415_123739_aubergine caviar.txt,131,10.54,0.81,0.0,0.16,0.0,9.21,5.46,4.68,0.0,1.56,0.55,0.0,90
70,20210414_152644_egg & anchovy mayo.jpg,egg & anchovy mayo,20210414_152644_egg & anchovy mayo.txt,270,24.23,3.77,3.89,1.7,0.13,0.75,0.54,0.0,0.0,11.47,1.32,0.0,0
71,20210226_120130_fine pancake.jpg,fine pancake,20210226_120130_fine pancake.txt,179,8.96,3.6,2.48,1.41,0.2,12.68,3.61,0.76,7.68,11.68,1.67,0.0,0
72,20200703_192727_steak w smoked mussel potatoes & octopus salad & garlic bread.jpg,steak w smoked mussel potatoes & octopus salad & garlic bread,20200703_192727_steak w smoked mussel potatoes & octopus salad & garlic bread.txt,163,5.28,1.77,1.52,0.46,0.0,11.65,2.72,0.71,0.05,10.86,0.5,3.37,640
73,20200308_110600_tomato feta & olive salad.jpg,tomato feta & olive salad,20200308_110600_tomato feta & olive salad.txt,78,6.47,2.52,3.15,0.51,0.0,2.92,1.3,1.15,0.0,2.9,0.62,0.0,0
74,20200625_161049_seabass & salad.jpg,seabass & salad,20200625_161049_seabass & salad.txt,86,2.38,0.46,0.84,0.72,0.55,5.69,3.14,0.76,0.16,10.4,0.51,0.0,300
75,20190109_170538_poached salmon and lettuce broth.jpg,poached salmon and lettuce broth,20190109_170538_poached salmon and lettuce broth.txt,37,1.35,0.47,0.38,0.33,0.0,0.94,0.45,0.17,0.0,5.32,0.66,0.0,673
76,20190216_182507_white buttered toast.jpg,white buttered toast,20190216_182507_white buttered toast.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,20200611_201009_salmon & teriyake broccoli.jpg,salmon & teriyake broccoli,20200611_201009_salmon & teriyake broccoli.txt,87,2.24,0.5,0.71,0.62,0.0,6.07,3.81,1.24,0.0,11.19,0.91,0.0,255
78,20191127_160420_aubergine mushroom korma.jpg,aubergine mushroom korma,20191127_160420_aubergine mushroom korma.txt,80,4.68,1.82,0.0,0.04,0.0,4.63,3.02,1.42,0.0,5.04,0.48,0.0,400
79,20190815_112603_steak & tomato focaccia.jpg,steak & tomato focaccia,20190815_112603_steak & tomato focaccia.txt,171,8.3,2.74,4.32,0.57,0.01,11.71,1.45,0.98,0.57,12.53,0.9,0.0,300
80,20190730_155503_lamb chops and potatoes in herbs and butter.jpg,lamb chops and potatoes in herbs and butter,20190730_155503_lamb chops and potatoes in herbs and butter.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,20191128_122637_ham & tomato veg samosa.jpg,ham & tomato veg samosa,20191128_122637_ham & tomato veg samosa.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,200
82,20190708_163016_cone cabbage mushroom and roast veg broth.jpg,cone cabbage mushroom and roast veg broth,20190708_163016_cone cabbage mushroom and roast veg broth.txt,38,1.67,0.34,0.01,0.01,0.0,4.52,1.32,1.1,0.32,1.11,0.99,0.0,550
83,20200901_163525_beef & aubergine burger.jpg,beef & aubergine burger,20200901_163525_beef & aubergine burger.txt,184,11.71,4.13,3.01,0.31,0.01,11.25,5.67,1.14,0.07,8.49,0.79,0.0,440
84,20191206_155635_veg bake.jpg,veg bake,20191206_155635_veg bake.txt,79,4.54,1.24,0.39,0.11,0.01,7.33,2.47,1.82,1.43,2.99,0.76,0.0,446
85,20190405_170102_cavolo nero bean and leek w mushroom broth.jpg,cavolo nero bean and leek w mushroom broth,20190405_170102_cavolo nero bean and leek w mushroom broth.txt,32,0.71,0.12,0.0,0.06,0.0,4.61,2.15,1.2,0.0,1.69,0.38,0.0,600
86,20200518_200338_lamb kofte v2.jpg,lamb kofte v2,20200518_200338_lamb kofte v2.txt,238,13.93,6.82,4.66,0.31,0.0,11.67,2.77,1.06,4.15,16.09,0.85,0.0,80
87,20190330_192604_beef and chicken chunk on beetroot brioche.jpg,beef and chicken chunk on beetroot brioche,20190330_192604_beef and chicken chunk on beetroot brioche.txt,142,5.55,2.62,1.11,0.37,0.0,13.33,7.5,1.19,0.11,9.18,0.81,0.0,460
88,20210802_132132_broad bean risotto cubes.jpg,broad bean risotto cubes,20210802_132132_broad bean risotto cubes.txt,153,6.33,3.3,2.14,0.42,0.0,19.71,1.69,1.92,0.14,4.4,0.79,0.0,40
89,20190515_151911_purple rainbow w egg and pine nut salad lite.jpg,purple rainbow w egg and pine nut salad lite,20190515_151911_purple rainbow w egg and pine nut salad lite.txt,76,2.73,0.68,0.89,0.75,1.27,9.78,5.2,1.42,0.17,3.42,0.42,0.0,208
90,20190218_161811_savoury pear grape and squash salad.jpg,savoury pear grape and squash salad,20190218_161811_savoury pear grape and squash salad.txt,38,0.15,0.02,0.03,0.05,0.0,9.42,3.8,1.86,0.29,0.87,0.05,0.0,215
91,20200212_150616_turmeric pancake.jpg,turmeric pancake,20200212_150616_turmeric pancake.txt,228,7.93,1.59,0.91,0.49,0.0,31.31,4.2,1.32,0.05,7.11,0.44,0.0,75
92,20190725_225322_smoked paprika spatchcock chicken.jpg,smoked paprika spatchcock chicken,20190725_225322_smoked paprika spatchcock chicken.txt,318,16.9,4.55,10.52,3.41,0.0,0.75,0.75,0.75,0.0,41.25,0.71,0.0,850
93,20210705_194502_fruit vinaigrette.jpg,fruit vinaigrette,20210705_194502_fruit vinaigrette.txt,121,9.96,1.4,7.14,0.8,0.0,8.29,6.46,0.21,0.0,0.33,0.0,0.0,0
94,20190626_163920_carrot ribbons w tomato & lemon basil.jpg,carrot ribbons w tomato & lemon basil,20190626_163920_carrot ribbons w tomato & lemon basil.txt,42,1.98,0.14,0.0,0.08,0.0,5.82,3.13,1.62,0.66,0.88,1.02,0.0,219
95,20210318_142911_broccoli & salad.jpg,broccoli & salad,20210318_142911_broccoli & salad.txt,61,3.4,0.44,1.83,0.65,0.0,7.37,3.61,2.66,0.01,2.04,0.22,0.0,300
96,20190114_180159_plaice w leek and jerusalem artichoke.jpg,plaice w leek and jerusalem artichoke,20190114_180159_plaice w leek and jerusalem artichoke.txt,57,1.23,0.37,0.25,0.22,0.0,4.53,1.98,0.44,0.0,6.72,0.88,0.0,440
97,20190830_230416_tuna and micro pizza.jpg,tuna and micro pizza,20190830_230416_tuna and micro pizza.txt,192,5.99,2.2,0.67,0.2,0.0,16.11,2.7,1.11,0.0,17.25,1.23,0.0,300
98,20200303_153418_steak w tomato & blue cheese sauce.jpg,steak w tomato & blue cheese sauce,20200303_153418_steak w tomato & blue cheese sauce.txt,253,17.13,7.57,7.99,0.58,0.0,0.97,0.82,0.64,0.0,22.61,0.71,0.0,255
99,20200307_162727_ssr sweet & sour red pepper.jpg,ssr sweet & sour red pepper,20200307_162727_ssr sweet & sour red pepper.txt,107,0.91,0.11,0.23,0.33,0.0,22.03,6.96,2.06,12.99,2.41,0.37,0.0,17
100,20191205_133710_beansprout broth w poached egg.jpg,beansprout broth w poached egg,20191205_133710_beansprout broth w poached egg.txt,51,2.89,0.67,0.37,0.2,0.0,4.4,1.93,0.92,0.56,2.23,0.88,0.0,620
101,20210731_123119_sweated peppers.jpg,sweated peppers,20210731_123119_sweated peppers.txt,48,1.74,0.19,1.02,0.26,0.0,6.9,4.83,2.41,0.0,1.15,0.35,0.0,0
102,20200722_151054_seabass & rhubarb cube salad.jpg,seabass & rhubarb cube salad,20200722_151054_seabass & rhubarb cube salad.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,380
103,20190812_093405_chicken quinoa salmon sushi.jpg,chicken quinoa salmon sushi,20190812_093405_chicken quinoa salmon sushi.txt,100,2.22,0.48,0.69,0.79,0.35,8.04,0.85,1.36,5.61,12.16,0.53,0.0,23
104,20200429_201044_ham tomato salad & gherkins.jpg,ham tomato salad & gherkins,20200429_201044_ham tomato salad & gherkins.txt,80,2.22,0.45,0.19,0.21,0.0,9.99,6.55,1.55,0.14,5.18,1.19,0.0,300
105,20210402_141730_chicken nero w cabbage & omelette.jpg,chicken nero w cabbage & omelette,20210402_141730_chicken nero w cabbage & omelette.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,453
106,20201010_155403_seared swordfish.jpg,seared swordfish,20201010_155403_seared swordfish.txt,168,8.54,1.92,4.17,1.33,0.0,0.0,0.0,0.0,0.0,21.53,0.4,0.0,174
107,20210709_165913_tomato pitta w poached egg & kofte.jpg,tomato pitta w poached egg & kofte,20210709_165913_tomato pitta w poached egg & kofte.txt,226,13.25,3.45,2.51,1.04,0.25,13.52,3.23,1.33,0.0,12.74,0.68,0.0,206
108,20190805_162436_seabass w broccoli and beetroot & apple salad.jpg,seabass w broccoli and beetroot & apple salad,20190805_162436_seabass w broccoli and beetroot & apple salad.txt,66,1.55,0.31,0.48,0.41,0.38,5.27,2.32,1.52,0.16,8.15,0.76,0.0,336
109,20210324_143421_red pepper & leeks w rosemary & tomato sauce.jpg,red pepper & leeks w rosemary & tomato sauce,20210324_143421_red pepper & leeks w rosemary & tomato sauce.txt,71,4.17,0.64,2.75,0.51,0.0,7.98,3.22,1.69,0.13,1.11,0.29,0.0,266
110,20190419_124838_bulgar wheat w grapes.jpg,bulgar wheat w grapes,20190419_124838_bulgar wheat w grapes.txt,129,6.92,1.4,2.45,2.19,4.0,15.76,9.83,2.42,3.07,2.76,0.79,0.0,206
111,20200311_160217_beansprout broth & lemon sole.jpg,beansprout broth & lemon sole,20200311_160217_beansprout broth & lemon sole.txt,43,2.14,0.64,0.41,0.27,0.0,2.44,1.31,0.57,0.03,3.74,1.13,0.0,590
112,20200218_165101_ribeye w red pepper & mushroom.jpg,ribeye w red pepper & mushroom,20200218_165101_ribeye w red pepper & mushroom.txt,183,9.59,4.44,3.67,0.34,0.0,0.9,0.6,0.3,0.0,23.37,0.27,0.0,210
113,20200131_152652_cheese selection w grape jelly.jpg,cheese selection w grape jelly,20200131_152652_cheese selection w grape jelly.txt,301,24.34,15.66,2.75,0.39,0.0,7.86,6.51,0.41,0.1,13.69,1.37,0.0,110
114,20190821_103911_chicken roll foldover.jpg,chicken roll foldover,20190821_103911_chicken roll foldover.txt,195,8.8,1.06,0.0,0.0,0.0,14.63,1.18,0.82,0.0,13.8,1.23,0.0,152
115,20200514_201346_watermelon & beet w tomato.jpg,watermelon & beet w tomato,20200514_201346_watermelon & beet w tomato.txt,71,2.41,0.57,0.28,0.22,0.0,11.66,9.27,1.23,0.11,1.32,0.51,0.0,254
116,20200325_134737_figs in lemon.jpg,figs in lemon,20200325_134737_figs in lemon.txt,123,0.45,0.11,0.11,0.11,0.0,31.61,26.91,4.66,0.0,1.56,0.0,0.0,13
117,20190402_164314_mixed kebab w garlic sauce and salad.jpg,mixed kebab w garlic sauce and salad,20190402_164314_mixed kebab w garlic sauce and salad.txt,216,14.63,7.6,2.97,0.93,0.05,6.32,1.29,0.76,4.24,14.88,1.03,0.0,740
118,20190906_104410_mmgt & red pepper salad.jpg,mmgt & red pepper salad,20190906_104410_mmgt & red pepper salad.txt,143,3.93,0.54,1.14,1.7,0.0,20.74,4.57,3.43,0.16,5.07,0.68,0.0,66
119,20190814_150112_beef & onion gravy.jpg,beef & onion gravy,20190814_150112_beef & onion gravy.txt,223,18.77,6.74,9.33,1.16,0.04,10.36,3.36,1.92,4.29,3.35,1.13,0.0,480
120,20190802_153356_surprise bean stew.jpg,surprise bean stew,20190802_153356_surprise bean stew.txt,77,3.0,0.6,1.67,0.32,0.0,9.19,2.59,2.4,2.88,2.69,0.64,0.0,225
121,20190226_170349_honey squash salad.jpg,honey squash salad,20190226_170349_honey squash salad.txt,43,0.3,0.02,0.01,0.02,0.0,10.05,5.77,2.26,0.0,1.1,0.08,0.0,347
122,20190710_151251_plaice and avocado salad w tortilla.jpg,plaice and avocado salad w tortilla,20190710_151251_plaice and avocado salad w tortilla.txt,83,4.38,0.83,1.4,0.55,0.0,4.93,2.63,1.6,0.05,6.27,0.57,0.0,420
123,20210610_183412_seared ostrich steak.jpg,seared ostrich steak,20210610_183412_seared ostrich steak.txt,161,5.02,2.13,2.44,0.35,0.0,1.05,0.42,0.94,0.0,27.29,1.47,0.0,120
